"Date","Site.Name","PM2.5","Ozone"
2020-01-01,"Bryson City",29.5,NA
2020-01-01,"Castle Hayne",13.5,NA
2020-01-01,"Clemmons Middle",24,NA
2020-01-01,"Durham Armory",33,NA
2020-01-01,"Frying Pan Mountain",NA,47
2020-01-01,"Garinger High School",21.3333333333333,28
2020-01-01,"Hattie Avenue",22,NA
2020-01-01,"Leggett",11,NA
2020-01-01,"Mendenhall School",13,NA
2020-01-01,"Millbrook School",30.6666666666667,32.5
2020-01-01,"Pitt Agri. Center",16.5,NA
2020-01-01,"West Johnston Co.",23,26
2020-01-02,"Bryson City",39,NA
2020-01-02,"Castle Hayne",13,NA
2020-01-02,"Clemmons Middle",35,NA
2020-01-02,"Durham Armory",37.3333333333333,NA
2020-01-02,"Frying Pan Mountain",7,44
2020-01-02,"Garinger High School",33,25
2020-01-02,"Hattie Avenue",25,NA
2020-01-02,"Leggett",15,NA
2020-01-02,"Linville Falls",12,NA
2020-01-02,"Mendenhall School",11,NA
2020-01-02,"Millbrook School",36.5,28
2020-01-02,"Pitt Agri. Center",23,NA
2020-01-02,"West Johnston Co.",26.5,25
2020-01-03,"Bryson City",31,NA
2020-01-03,"Castle Hayne",18,NA
2020-01-03,"Clemmons Middle",42.6666666666667,NA
2020-01-03,"Durham Armory",41.3333333333333,NA
2020-01-03,"Frying Pan Mountain",NA,36
2020-01-03,"Garinger High School",33,16.5
2020-01-03,"Hattie Avenue",35.3333333333333,NA
2020-01-03,"Leggett",19,NA
2020-01-03,"Linville Falls",7,NA
2020-01-03,"Mendenhall School",40,NA
2020-01-03,"Millbrook School",42.75,22
2020-01-03,"Pitt Agri. Center",23.3333333333333,NA
2020-01-03,"West Johnston Co.",35,18
2020-01-04,"Bryson City",21.5,NA
2020-01-04,"Castle Hayne",19,NA
2020-01-04,"Clemmons Middle",39,NA
2020-01-04,"Durham Armory",38.5,NA
2020-01-04,"Frying Pan Mountain",NA,34
2020-01-04,"Garinger High School",18.3333333333333,26
2020-01-04,"Hattie Avenue",32,NA
2020-01-04,"Leggett",19.5,NA
2020-01-04,"Mendenhall School",21.5,NA
2020-01-04,"Millbrook School",38.6666666666667,28
2020-01-04,"Pitt Agri. Center",24.5,NA
2020-01-04,"West Johnston Co.",26,23
2020-01-05,"Bryson City",21.5,NA
2020-01-05,"Castle Hayne",10,NA
2020-01-05,"Clemmons Middle",25,NA
2020-01-05,"Durham Armory",30,NA
2020-01-05,"Frying Pan Mountain",13,39
2020-01-05,"Garinger High School",20,30.5
2020-01-05,"Hattie Avenue",22.3333333333333,NA
2020-01-05,"Leggett",6,NA
2020-01-05,"Linville Falls",15,NA
2020-01-05,"Mendenhall School",14,NA
2020-01-05,"Millbrook School",28.75,34.5
2020-01-05,"Pitt Agri. Center",16.6666666666667,NA
2020-01-05,"West Johnston Co.",20,34
2020-01-06,"Bryson City",33,NA
2020-01-06,"Castle Hayne",13,NA
2020-01-06,"Clemmons Middle",25,NA
2020-01-06,"Durham Armory",29.3333333333333,NA
2020-01-06,"Frying Pan Mountain",NA,40
2020-01-06,"Garinger High School",32.25,30.5
2020-01-06,"Hattie Avenue",15.6666666666667,NA
2020-01-06,"Leggett",7,NA
2020-01-06,"Linville Falls",4,NA
2020-01-06,"Mendenhall School",18,NA
2020-01-06,"Millbrook School",27.75,32
2020-01-06,"Pitt Agri. Center",15.6666666666667,NA
2020-01-06,"West Johnston Co.",28.5,33
2020-01-07,"Bryson City",45,NA
2020-01-07,"Castle Hayne",11,NA
2020-01-07,"Clemmons Middle",40.5,NA
